label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end
T1_k16_kl_beta1.2,0.1793302106005805,1.1964157481097772,44.76501637413388,0.00390625,1.5709804702055408,0.012925022095563085,9.639760792022571,215040,2,1,16,0,1.2
T1_k16_kl_beta1.5,0.18047364808264232,1.197784557144936,33.38911720911662,0.00390625,1.6898984376894077,0.013797200457095945,9.489309833035804,215040,2,1,16,0,1.5
T1_k16_wmf_beta1.2,0.18542861269698258,1.203734265365104,76.19070450010754,0.00390625,3.5509882800397463,0.032331270858776406,16.48566845798632,215040,2,1,16,1,1.2
T1_k16_wmf_beta1.5,0.1869954427438123,1.2056217907100395,74.06169998532249,0.00390625,3.4055090945912525,0.031983289090931066,16.55360954196658,215040,2,1,16,1,1.5
T1_k32_kl_beta1.2,0.17606969243358997,1.1925211654568062,48.63629478272938,0.00390625,1.68502343876753,0.015752820293831366,10.636446541000623,215040,2,1,32,0,1.2
T1_k32_kl_beta1.5,0.1762712426483631,1.192761542577042,54.01252398717971,0.00390625,1.954295561517938,0.01769080866627822,10.875391207984649,215040,2,1,32,0,1.5
T1_k32_wmf_beta1.2,0.189078638294623,1.208135954498589,53.420529529026574,0.00390625,10.389811219283729,0.07521978136537655,26.35258404200431,215040,2,1,32,1,1.2
T1_k32_wmf_beta1.5,0.19171938239818528,1.211330548593026,63.208059765043714,0.00390625,7.2837226562114665,0.07557340366777983,26.633590832992923,215040,2,1,32,1,1.5
T2_k16_kl_beta1.2,0.18233814643962043,1.2000199077399296,4473.423718261719,0.0078125,2.6453958125784993,0.02249278387959445,12.405606083048042,215040,2,2,16,0,1.2
T2_k16_kl_beta1.5,0.17288638873114473,1.1887310441697008,1716.1910632905506,0.0078125,2.815830719555379,0.024400119779481127,12.426227124989964,215040,2,2,16,0,1.5
T2_k16_wmf_beta1.2,0.1862255141671215,1.204693905289278,4590.636654227121,0.0078125,6.2660937510372605,0.061257053403096506,23.703294374980032,215040,2,2,16,1,1.2
T2_k16_wmf_beta1.5,0.18131474721289817,1.1987924364979894,3511.1721999395463,0.0078125,6.02646224979253,0.06119878382075209,23.816687291953713,215040,2,2,16,1,1.5
T2_k32_kl_beta1.2,0.17842126603992212,1.1953287666010486,2781.433802141462,0.0078125,3.164124998875195,0.029688260383409215,13.978677999984939,215040,2,2,32,0,1.2
T2_k32_kl_beta1.5,0.17649626165983223,1.193029966799415,1531.4788591657366,0.0078125,3.044667968424619,0.027368436197624153,13.783709375013132,215040,2,2,32,0,1.5
T2_k32_wmf_beta1.2,0.19412361048161983,1.2142463672583075,3389.275211588542,0.0078125,13.532348968510632,0.14490690235409906,41.70235204102937,215040,2,2,32,1,1.2
T2_k32_wmf_beta1.5,0.18018463410082317,1.197438430680817,4140.7193888346355,0.0078125,13.442167968605645,0.1477572174432377,42.08906491595553,215040,2,2,32,1,1.5
T3_k16_kl_beta1.2,0.17718259353368054,1.1938490623456233,36374.66878720238,0.01171875,3.5560742198867956,0.030030272152240894,14.68723266600864,215040,2,3,16,0,1.2
T3_k16_kl_beta1.5,0.1717609885725237,1.1873939985608215,51245.145265997024,0.01171875,3.6011575612064917,0.028760036457242677,14.74745183304185,215040,2,3,16,0,1.5
T3_k16_wmf_beta1.2,0.1910397713915223,1.2105075946954331,42465.332663690475,0.01171875,9.89911328179005,0.09403103247980955,30.788407707994338,215040,2,3,16,1,1.2
T3_k16_wmf_beta1.5,0.18962036309142907,1.2087906090083347,39016.84924200149,0.01171875,9.08633984363405,0.09696028640367634,30.547260874998756,215040,2,3,16,1,1.5
T3_k32_kl_beta1.2,0.17990641459113077,1.1971053262879654,21695.118545386904,0.01171875,4.071889343322255,0.0401261380223635,16.551460959017277,215040,2,3,32,0,1.2
T3_k32_kl_beta1.5,0.17787175872141406,1.1946721051324432,21024.132589285713,0.01171875,4.0424231556244195,0.03959749210480368,16.718433499976527,215040,2,3,32,0,1.5
T3_k32_wmf_beta1.2,0.18681506232491563,1.2054043397589367,55388.21737351191,0.01171875,20.43384375065216,0.21452142967367158,57.26268833398353,215040,2,3,32,1,1.2
T3_k32_wmf_beta1.5,0.18927099701194536,1.2083683723342291,26991.736332775297,0.01171875,21.837302061612718,0.22410633717602954,57.40303404198494,215040,2,3,32,1,1.5
